eval_model_name,generator_model_name,re_eval_model_name,initial_log_path,adaptive_log_path,re_eval_log_path,use_example,use_cot_target,use_cot_in_context_attacker,num_epochs,adaptive_accuracy,adaptive_accuracy_judged,adaptive_scorer_name,re_eval_accuracy,re_eval_accuracy_judged,re_eval_scorer_name,judge_model_name,positive_samples,negative_samples,passed_judge_count,adaptive_incorrect_count,re_eval_incorrect_count,novelty_results_file,task_name
openai/o3-mini,openai/gpt-4o,anthropic/claude-3-5-sonnet-latest,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/2025-04-08T20-34-39+00-00_legalbench-initial-aggregated_TD88HhsTvSi9buq34UxVmW.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/openai_o3-mini_openai_gpt-4o_pos1_neg8/2025-04-08T20-47-00+00-00_adaptive-legal_cKtSdszyx5bgftpdQJGTrK.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/openai_o3-mini_openai_gpt-4o_pos1_neg8/re_eval/anthropic_claude-3-5-sonnet-latest/2025-04-08T20-49-54+00-00_re-evaluate-adaptive-legal_i4wBPRyh7VQkakeyrSZhKn.eval,True,True,False,150,0.8133333333333334,,adaptive_legal_scorer,0.4782608695652174,,choice,anthropic/claude-3-5-sonnet-latest,1,8,23,23,12,results/randomized_20250407_203611/maud_accuracy_of_fundamental_target_rws_bringdown_standard/novelty_legal_maud_accuracy_of_fundamental_target_rws_bringdown_standard_openai_o3-mini_openai_gpt-4o_20250408_204830.csv,maud_accuracy_of_fundamental_target_rws_bringdown_standard
anthropic/claude-3-5-sonnet-latest,openai/gpt-4o,openai/gpt-4o,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/2025-04-08T20-34-39+00-00_legalbench-initial-aggregated_TD88HhsTvSi9buq34UxVmW.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/anthropic_claude-3-5-sonnet-latest_openai_gpt-4o_pos1_neg8/2025-04-08T20-50-10+00-00_adaptive-legal_4TDkY6zzwKw8Uo3QMyko8Z.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/anthropic_claude-3-5-sonnet-latest_openai_gpt-4o_pos1_neg8/re_eval/openai_gpt-4o/2025-04-08T20-52-06+00-00_re-evaluate-adaptive-legal_bwYRnsmZSZbQA3rpgK3ZQt.eval,True,True,False,150,0.4666666666666667,,adaptive_legal_scorer,0.2608695652173913,,choice,anthropic/claude-3-5-sonnet-latest,1,8,69,69,51,results/randomized_20250407_203611/maud_accuracy_of_fundamental_target_rws_bringdown_standard/novelty_legal_maud_accuracy_of_fundamental_target_rws_bringdown_standard_anthropic_claude-3-5-sonnet-latest_openai_gpt-4o_20250408_205203.csv,maud_accuracy_of_fundamental_target_rws_bringdown_standard
anthropic/claude-3-5-sonnet-latest,openai/gpt-4o,openai/gpt-4o-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/2025-04-08T20-34-39+00-00_legalbench-initial-aggregated_TD88HhsTvSi9buq34UxVmW.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/anthropic_claude-3-5-sonnet-latest_openai_gpt-4o_pos1_neg8/2025-04-08T20-50-10+00-00_adaptive-legal_4TDkY6zzwKw8Uo3QMyko8Z.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/anthropic_claude-3-5-sonnet-latest_openai_gpt-4o_pos1_neg8/re_eval/openai_gpt-4o-mini/2025-04-08T20-52-54+00-00_re-evaluate-adaptive-legal_GuuYPhhLVovNdiaYgxoXUe.eval,True,True,False,150,0.4666666666666667,,adaptive_legal_scorer,0.6666666666666666,,choice,anthropic/claude-3-5-sonnet-latest,1,8,69,69,23,results/randomized_20250407_203611/maud_accuracy_of_fundamental_target_rws_bringdown_standard/novelty_legal_maud_accuracy_of_fundamental_target_rws_bringdown_standard_anthropic_claude-3-5-sonnet-latest_openai_gpt-4o_20250408_205203.csv,maud_accuracy_of_fundamental_target_rws_bringdown_standard
anthropic/claude-3-5-sonnet-latest,openai/gpt-4o,together/meta-llama/Llama-3.3-70B-Instruct-Turbo,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/2025-04-08T20-34-39+00-00_legalbench-initial-aggregated_TD88HhsTvSi9buq34UxVmW.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/anthropic_claude-3-5-sonnet-latest_openai_gpt-4o_pos1_neg8/2025-04-08T20-50-10+00-00_adaptive-legal_4TDkY6zzwKw8Uo3QMyko8Z.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/anthropic_claude-3-5-sonnet-latest_openai_gpt-4o_pos1_neg8/re_eval/together_meta-llama_Llama-3.3-70B-Instruct-Turbo/2025-04-08T20-53-36+00-00_re-evaluate-adaptive-legal_Buze8Fev2qM3RfEMJ3MfL3.eval,True,True,False,150,0.4666666666666667,,adaptive_legal_scorer,0.7246376811594203,,choice,anthropic/claude-3-5-sonnet-latest,1,8,69,69,19,results/randomized_20250407_203611/maud_accuracy_of_fundamental_target_rws_bringdown_standard/novelty_legal_maud_accuracy_of_fundamental_target_rws_bringdown_standard_anthropic_claude-3-5-sonnet-latest_openai_gpt-4o_20250408_205203.csv,maud_accuracy_of_fundamental_target_rws_bringdown_standard
anthropic/claude-3-5-sonnet-latest,openai/gpt-4o,openai/o3-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/2025-04-08T20-34-39+00-00_legalbench-initial-aggregated_TD88HhsTvSi9buq34UxVmW.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/anthropic_claude-3-5-sonnet-latest_openai_gpt-4o_pos1_neg8/2025-04-08T20-50-10+00-00_adaptive-legal_4TDkY6zzwKw8Uo3QMyko8Z.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/anthropic_claude-3-5-sonnet-latest_openai_gpt-4o_pos1_neg8/re_eval/openai_o3-mini/2025-04-08T20-55-01+00-00_re-evaluate-adaptive-legal_aoRCxxRn46YHnH6afaGieQ.eval,True,True,False,150,0.4666666666666667,,adaptive_legal_scorer,0.5652173913043478,,choice,anthropic/claude-3-5-sonnet-latest,1,8,69,69,30,results/randomized_20250407_203611/maud_accuracy_of_fundamental_target_rws_bringdown_standard/novelty_legal_maud_accuracy_of_fundamental_target_rws_bringdown_standard_anthropic_claude-3-5-sonnet-latest_openai_gpt-4o_20250408_205203.csv,maud_accuracy_of_fundamental_target_rws_bringdown_standard
anthropic/claude-3-5-sonnet-latest,openai/gpt-4o,anthropic/claude-3-5-sonnet-latest,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/2025-04-08T20-34-39+00-00_legalbench-initial-aggregated_TD88HhsTvSi9buq34UxVmW.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/anthropic_claude-3-5-sonnet-latest_openai_gpt-4o_pos1_neg8/2025-04-08T20-50-10+00-00_adaptive-legal_4TDkY6zzwKw8Uo3QMyko8Z.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/anthropic_claude-3-5-sonnet-latest_openai_gpt-4o_pos1_neg8/re_eval/anthropic_claude-3-5-sonnet-latest/2025-04-08T20-56-00+00-00_re-evaluate-adaptive-legal_Z7aX8DrfnvPFHWyMhT7ky2.eval,True,True,False,150,0.4666666666666667,,adaptive_legal_scorer,0.2028985507246377,,choice,anthropic/claude-3-5-sonnet-latest,1,8,69,69,55,results/randomized_20250407_203611/maud_accuracy_of_fundamental_target_rws_bringdown_standard/novelty_legal_maud_accuracy_of_fundamental_target_rws_bringdown_standard_anthropic_claude-3-5-sonnet-latest_openai_gpt-4o_20250408_205203.csv,maud_accuracy_of_fundamental_target_rws_bringdown_standard
openai/gpt-4o,openai/gpt-4o,openai/gpt-4o,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/2025-04-08T20-57-16+00-00_legalbench-initial-aggregated_cTLxXar5YvCvx33je5j4wG.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o_openai_gpt-4o_pos1_neg8/2025-04-08T20-59-54+00-00_adaptive-legal_N5aSLwrTVJH6ks8yjpy3kL.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o_openai_gpt-4o_pos1_neg8/re_eval/openai_gpt-4o/2025-04-08T21-01-35+00-00_re-evaluate-adaptive-legal_87LBRnQAxfqkiAQXuGqUhL.eval,True,True,False,150,0.98,,adaptive_legal_scorer,0.0,,choice,anthropic/claude-3-5-sonnet-latest,1,8,2,2,2,results/randomized_20250407_203611/maud_accuracy_of_target_general_rw_bringdown_timing_answer/novelty_legal_maud_accuracy_of_target_general_rw_bringdown_timing_answer_openai_gpt-4o_openai_gpt-4o_20250408_210131.csv,maud_accuracy_of_target_general_rw_bringdown_timing_answer
openai/gpt-4o,openai/gpt-4o,openai/gpt-4o-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/2025-04-08T20-57-16+00-00_legalbench-initial-aggregated_cTLxXar5YvCvx33je5j4wG.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o_openai_gpt-4o_pos1_neg8/2025-04-08T20-59-54+00-00_adaptive-legal_N5aSLwrTVJH6ks8yjpy3kL.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o_openai_gpt-4o_pos1_neg8/re_eval/openai_gpt-4o-mini/2025-04-08T21-01-47+00-00_re-evaluate-adaptive-legal_L4qwh3hcRDjH8JpWeXxA4e.eval,True,True,False,150,0.98,,adaptive_legal_scorer,0.5,,choice,anthropic/claude-3-5-sonnet-latest,1,8,2,2,1,results/randomized_20250407_203611/maud_accuracy_of_target_general_rw_bringdown_timing_answer/novelty_legal_maud_accuracy_of_target_general_rw_bringdown_timing_answer_openai_gpt-4o_openai_gpt-4o_20250408_210131.csv,maud_accuracy_of_target_general_rw_bringdown_timing_answer
openai/gpt-4o,openai/gpt-4o,together/meta-llama/Llama-3.3-70B-Instruct-Turbo,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/2025-04-08T20-57-16+00-00_legalbench-initial-aggregated_cTLxXar5YvCvx33je5j4wG.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o_openai_gpt-4o_pos1_neg8/2025-04-08T20-59-54+00-00_adaptive-legal_N5aSLwrTVJH6ks8yjpy3kL.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o_openai_gpt-4o_pos1_neg8/re_eval/together_meta-llama_Llama-3.3-70B-Instruct-Turbo/2025-04-08T21-01-52+00-00_re-evaluate-adaptive-legal_CnNrJK9nrVckaz7JgnWS4E.eval,True,True,False,150,0.98,,adaptive_legal_scorer,0.5,,choice,anthropic/claude-3-5-sonnet-latest,1,8,2,2,1,results/randomized_20250407_203611/maud_accuracy_of_target_general_rw_bringdown_timing_answer/novelty_legal_maud_accuracy_of_target_general_rw_bringdown_timing_answer_openai_gpt-4o_openai_gpt-4o_20250408_210131.csv,maud_accuracy_of_target_general_rw_bringdown_timing_answer
openai/gpt-4o,openai/gpt-4o,openai/o3-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/2025-04-08T20-57-16+00-00_legalbench-initial-aggregated_cTLxXar5YvCvx33je5j4wG.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o_openai_gpt-4o_pos1_neg8/2025-04-08T20-59-54+00-00_adaptive-legal_N5aSLwrTVJH6ks8yjpy3kL.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o_openai_gpt-4o_pos1_neg8/re_eval/openai_o3-mini/2025-04-08T21-01-56+00-00_re-evaluate-adaptive-legal_2Xse4Dh74H4Qi9HFdMuEia.eval,True,True,False,150,0.98,,adaptive_legal_scorer,0.0,,choice,anthropic/claude-3-5-sonnet-latest,1,8,2,2,2,results/randomized_20250407_203611/maud_accuracy_of_target_general_rw_bringdown_timing_answer/novelty_legal_maud_accuracy_of_target_general_rw_bringdown_timing_answer_openai_gpt-4o_openai_gpt-4o_20250408_210131.csv,maud_accuracy_of_target_general_rw_bringdown_timing_answer
openai/gpt-4o,openai/gpt-4o,anthropic/claude-3-5-sonnet-latest,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/2025-04-08T20-57-16+00-00_legalbench-initial-aggregated_cTLxXar5YvCvx33je5j4wG.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o_openai_gpt-4o_pos1_neg8/2025-04-08T20-59-54+00-00_adaptive-legal_N5aSLwrTVJH6ks8yjpy3kL.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o_openai_gpt-4o_pos1_neg8/re_eval/anthropic_claude-3-5-sonnet-latest/2025-04-08T21-02-03+00-00_re-evaluate-adaptive-legal_L45pYSfFUmvxqtWdk2Ad9x.eval,True,True,False,150,0.98,,adaptive_legal_scorer,0.0,,choice,anthropic/claude-3-5-sonnet-latest,1,8,2,2,2,results/randomized_20250407_203611/maud_accuracy_of_target_general_rw_bringdown_timing_answer/novelty_legal_maud_accuracy_of_target_general_rw_bringdown_timing_answer_openai_gpt-4o_openai_gpt-4o_20250408_210131.csv,maud_accuracy_of_target_general_rw_bringdown_timing_answer
openai/gpt-4o-mini,openai/gpt-4o,openai/gpt-4o,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/2025-04-08T20-57-16+00-00_legalbench-initial-aggregated_cTLxXar5YvCvx33je5j4wG.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-08T21-02-09+00-00_adaptive-legal_LBDHH2k5GSiAn8vkXRfUL5.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/re_eval/openai_gpt-4o/2025-04-08T21-03-44+00-00_re-evaluate-adaptive-legal_2DF4MPNjy4gdTHJzXE56km.eval,True,True,False,150,0.9866666666666667,,adaptive_legal_scorer,0.0,,choice,anthropic/claude-3-5-sonnet-latest,1,8,1,1,1,results/randomized_20250407_203611/maud_accuracy_of_target_general_rw_bringdown_timing_answer/novelty_legal_maud_accuracy_of_target_general_rw_bringdown_timing_answer_openai_gpt-4o-mini_openai_gpt-4o_20250408_210341.csv,maud_accuracy_of_target_general_rw_bringdown_timing_answer
openai/gpt-4o-mini,openai/gpt-4o,openai/gpt-4o-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/2025-04-08T20-57-16+00-00_legalbench-initial-aggregated_cTLxXar5YvCvx33je5j4wG.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-08T21-02-09+00-00_adaptive-legal_LBDHH2k5GSiAn8vkXRfUL5.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/re_eval/openai_gpt-4o-mini/2025-04-08T21-03-53+00-00_re-evaluate-adaptive-legal_h56GsE54RTyMVG9DT76njR.eval,True,True,False,150,0.9866666666666667,,adaptive_legal_scorer,0.0,,choice,anthropic/claude-3-5-sonnet-latest,1,8,1,1,1,results/randomized_20250407_203611/maud_accuracy_of_target_general_rw_bringdown_timing_answer/novelty_legal_maud_accuracy_of_target_general_rw_bringdown_timing_answer_openai_gpt-4o-mini_openai_gpt-4o_20250408_210341.csv,maud_accuracy_of_target_general_rw_bringdown_timing_answer
openai/gpt-4o-mini,openai/gpt-4o,together/meta-llama/Llama-3.3-70B-Instruct-Turbo,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/2025-04-08T20-57-16+00-00_legalbench-initial-aggregated_cTLxXar5YvCvx33je5j4wG.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-08T21-02-09+00-00_adaptive-legal_LBDHH2k5GSiAn8vkXRfUL5.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/re_eval/together_meta-llama_Llama-3.3-70B-Instruct-Turbo/2025-04-08T21-03-59+00-00_re-evaluate-adaptive-legal_UdsvvLeZZqcxpxA5mh3qZ4.eval,True,True,False,150,0.9866666666666667,,adaptive_legal_scorer,1.0,,choice,anthropic/claude-3-5-sonnet-latest,1,8,1,1,0,results/randomized_20250407_203611/maud_accuracy_of_target_general_rw_bringdown_timing_answer/novelty_legal_maud_accuracy_of_target_general_rw_bringdown_timing_answer_openai_gpt-4o-mini_openai_gpt-4o_20250408_210341.csv,maud_accuracy_of_target_general_rw_bringdown_timing_answer
openai/gpt-4o-mini,openai/gpt-4o,openai/o3-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/2025-04-08T20-57-16+00-00_legalbench-initial-aggregated_cTLxXar5YvCvx33je5j4wG.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-08T21-02-09+00-00_adaptive-legal_LBDHH2k5GSiAn8vkXRfUL5.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/re_eval/openai_o3-mini/2025-04-08T21-04-04+00-00_re-evaluate-adaptive-legal_iTdyxWZMwNsW9EUirh7Pwz.eval,True,True,False,150,0.9866666666666667,,adaptive_legal_scorer,0.0,,choice,anthropic/claude-3-5-sonnet-latest,1,8,1,1,1,results/randomized_20250407_203611/maud_accuracy_of_target_general_rw_bringdown_timing_answer/novelty_legal_maud_accuracy_of_target_general_rw_bringdown_timing_answer_openai_gpt-4o-mini_openai_gpt-4o_20250408_210341.csv,maud_accuracy_of_target_general_rw_bringdown_timing_answer
openai/gpt-4o-mini,openai/gpt-4o,anthropic/claude-3-5-sonnet-latest,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/2025-04-08T20-57-16+00-00_legalbench-initial-aggregated_cTLxXar5YvCvx33je5j4wG.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-08T21-02-09+00-00_adaptive-legal_LBDHH2k5GSiAn8vkXRfUL5.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/re_eval/anthropic_claude-3-5-sonnet-latest/2025-04-08T21-04-10+00-00_re-evaluate-adaptive-legal_7McmDJ8DZaKNGoYuuKwPZY.eval,True,True,False,150,0.9866666666666667,,adaptive_legal_scorer,0.0,,choice,anthropic/claude-3-5-sonnet-latest,1,8,1,1,1,results/randomized_20250407_203611/maud_accuracy_of_target_general_rw_bringdown_timing_answer/novelty_legal_maud_accuracy_of_target_general_rw_bringdown_timing_answer_openai_gpt-4o-mini_openai_gpt-4o_20250408_210341.csv,maud_accuracy_of_target_general_rw_bringdown_timing_answer
together/meta-llama/Llama-3.3-70B-Instruct-Turbo,openai/gpt-4o,openai/gpt-4o,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/2025-04-08T20-57-16+00-00_legalbench-initial-aggregated_cTLxXar5YvCvx33je5j4wG.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/together_meta-llama_Llama-3.3-70B-Instruct-Turbo_openai_gpt-4o_pos1_neg8/2025-04-08T21-04-16+00-00_adaptive-legal_XqGig8MkZe5Ncb2rGE9GrP.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/together_meta-llama_Llama-3.3-70B-Instruct-Turbo_openai_gpt-4o_pos1_neg8/re_eval/openai_gpt-4o/2025-04-08T21-05-49+00-00_re-evaluate-adaptive-legal_5RUtecLB44TQ5hc5pbMH4x.eval,True,True,False,150,0.98,,adaptive_legal_scorer,1.0,,choice,anthropic/claude-3-5-sonnet-latest,1,8,2,2,0,results/randomized_20250407_203611/maud_accuracy_of_target_general_rw_bringdown_timing_answer/novelty_legal_maud_accuracy_of_target_general_rw_bringdown_timing_answer_together_meta-llama_Llama-3.3-70B-Instruct-Turbo_openai_gpt-4o_20250408_210547.csv,maud_accuracy_of_target_general_rw_bringdown_timing_answer
together/meta-llama/Llama-3.3-70B-Instruct-Turbo,openai/gpt-4o,openai/gpt-4o-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/2025-04-08T20-57-16+00-00_legalbench-initial-aggregated_cTLxXar5YvCvx33je5j4wG.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/together_meta-llama_Llama-3.3-70B-Instruct-Turbo_openai_gpt-4o_pos1_neg8/2025-04-08T21-04-16+00-00_adaptive-legal_XqGig8MkZe5Ncb2rGE9GrP.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/together_meta-llama_Llama-3.3-70B-Instruct-Turbo_openai_gpt-4o_pos1_neg8/re_eval/openai_gpt-4o-mini/2025-04-08T21-05-56+00-00_re-evaluate-adaptive-legal_PULqs6SL8pTPpUvP5DbKYw.eval,True,True,False,150,0.98,,adaptive_legal_scorer,1.0,,choice,anthropic/claude-3-5-sonnet-latest,1,8,2,2,0,results/randomized_20250407_203611/maud_accuracy_of_target_general_rw_bringdown_timing_answer/novelty_legal_maud_accuracy_of_target_general_rw_bringdown_timing_answer_together_meta-llama_Llama-3.3-70B-Instruct-Turbo_openai_gpt-4o_20250408_210547.csv,maud_accuracy_of_target_general_rw_bringdown_timing_answer
